"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","SCY-CHAZELLES","Scy-Chazelles",49.1075020002343,6.12277499962463,"NO","eea","µg/m³",0.4,"2024-03-11T10:00:00+01:00","France"
"FR","SCY-CHAZELLES","Scy-Chazelles",49.1075020002343,6.12277499962463,"O3","eea","µg/m³",73.3,"2024-09-17T23:00:00+02:00","France"
"FR","CARTIGNIES","Cartignies",50.0922500001161,3.85002999965121,"NO2","eea","µg/m³",5,"2024-09-17T23:00:00+02:00","France"
"FR","CARTIGNIES","Cartignies",50.0922500001161,3.85002999965121,"NO","eea","µg/m³",1.2,"2024-03-11T09:00:00+01:00","France"
"FR","ATTON","Atton",48.8863869997662,6.09361099988959,"NO2","eea","µg/m³",23.3,"2024-09-17T23:00:00+02:00","France"
"FR","MARSEILLE 4E ARRONDISSEMENT","MARSEILLE 5 AVENUES",43.3052859999273,5.39471600005097,"SO2","eea","µg/m³",0.9,"2024-09-17T23:00:00+02:00","France"
"FR","NEUILLY-SUR-SEINE","NEUILLY-SUR-SEINE",48.8813900000285,2.27805599983326,"SO2","eea","µg/m³",2.9,"2021-01-04T14:00:00+01:00","France"
"FR","CHAMPIGNY-SUR-MARNE","CHAMPIGNY-SUR-MARNE",48.8163870001885,2.51750000025093,"NO","eea","µg/m³",39.8,"2024-03-11T10:00:00+01:00","France"
"FR","REIMS","Jean d Aulan",49.2241669997297,4.02055599976787,"PM2.5","eea","µg/m³",6.2,"2024-09-16T23:00:00+02:00","France"
"FR","SAINT-OMER","St Omer Ribot",50.7482300002354,2.25977999995667,"CO","eea","µg/m³",860,"2017-01-24T02:00:00+01:00","France"
"FR","NANTES","CIM BOUTEILLERIE",47.2224999999634,-1.53750000004799,"PM2.5","eea","µg/m³",4.1,"2024-09-16T23:00:00+02:00","France"
"FR","LOURDES","LOURDES LAPACCA",43.0962500002002,-0.0404969998324175,"PM2.5","eea","µg/m³",4.6,"2024-09-16T23:00:00+02:00","France"
"FR","LOURDES","LOURDES LAPACCA",43.0962500002002,-0.0404969998324175,"NO","eea","µg/m³",1.1,"2024-03-11T08:00:00+01:00","France"
"FR","LOURDES","LOURDES LAPACCA",43.0962500002002,-0.0404969998324175,"NO2","eea","µg/m³",10.6,"2024-09-16T23:00:00+02:00","France"
"FR","CHÂLONS-EN-CHAMPAGNE","CHALONS",48.9622229999545,4.36000000037125,"SO2","eea","µg/m³",0.3,"2019-09-17T10:00:00+02:00","France"
"FR","LAVAL","MAZAGRAN",48.0694300001585,-0.767691999765811,"NO2","eea","µg/m³",5.9,"2024-09-16T23:00:00+02:00","France"
"FR","SAINT-MARTIN-D'HÈRES","St Martin d'Heres",45.182800000109,5.75310000015467,"O3","eea","µg/m³",82.2,"2024-09-16T23:00:00+02:00","France"
"FR","SAINT-MARTIN-D'HÈRES","St Martin d'Heres",45.182800000109,5.75310000015467,"NO","eea","µg/m³",12.6,"2024-03-11T10:00:00+01:00","France"
"FR","PEYRUSSE-VIEILLE","PEYRUSSE",43.6286999997377,0.179069000028201,"PM10","eea","µg/m³",7.5,"2024-09-16T23:00:00+02:00","France"
"FR","TARBES","Tarbes lycée Dupuy",43.230296999729,0.062338999671559,"O3","eea","µg/m³",55.1,"2024-09-16T23:00:00+02:00","France"
"FR","ÉPERNAY","Rempart Perrier",49.0460999999616,3.95591099960915,"NO2","eea","µg/m³",18.5,"2024-09-16T23:00:00+02:00","France"
